...1,gen,pA,pB,pD,tJ,tF,tG,tH,error,min_error
873,873,11.173214204986817,3.9418622321753487,26.132866024516847,0.2843215975775153,0.5926112786764981,0.48638114147862255,0.9711953291011304,11.97862,9.91803
874,874,11.173214204986817,3.9418622321753487,26.132866024516847,0.3204519367115908,0.5926112786764981,0.48638114147862255,0.9711953291011304,12.75104,9.91803
875,875,11.173214204986817,3.9418622321753487,25.58416323813199,0.2843215975775153,0.5926112786764981,0.48638114147862255,0.9711953291011304,11.02213,9.91803
876,876,11.173214204986817,3.9418622321753487,26.55096307678177,0.2843215975775153,0.5926112786764981,0.48638114147862255,0.9711953291011304,13.07433,9.91803
877,877,11.173214204986817,3.9418622321753487,25.996639210648745,0.2843215975775153,0.5926112786764981,0.48638114147862255,0.9711953291011304,10.79933,9.91803
878,878,11.173214204986817,3.9418622321753487,26.132866024516847,0.2843215975775153,0.5926112786764981,0.4852042947526591,0.9711953291011304,12.04024,9.91803
879,879,11.173214204986817,3.9418622321753487,22.66674345160242,0.2843215975775153,0.5926112786764981,0.48638114147862255,0.9711953291011304,13.80869,9.91803
880,880,11.173214204986817,3.9418622321753487,26.132866024516847,0.3423493194906055,0.5926112786764981,0.48638114147862255,0.9711953291011304,12.19165,9.91803
881,881,11.173214204986817,3.9418622321753487,29.429106219211658,0.2843215975775153,0.5926112786764981,0.48638114147862255,0.9711953291011304,9.79852,9.79852
882,882,11.173214204986817,3.9418622321753487,29.429106219211658,0.2843215975775153,0.5926112786764981,0.4724585334510368,0.9711953291011304,10.83278,9.79852
883,883,11.173214204986817,4.128000543284247,29.429106219211658,0.2843215975775153,0.5926112786764981,0.48638114147862255,0.9711953291011304,12.05548,9.79852
884,884,11.173214204986817,3.9418622321753487,29.429106219211658,0.2843215975775153,0.5926112786764981,0.48638114147862255,0.9711953291011304,9.43013,9.43013
885,885,11.173214204986817,3.9418622321753487,29.429106219211658,0.2843215975775153,0.5813504191333623,0.48638114147862255,0.9711953291011304,11.52783,9.43013
886,886,10.847860428957134,3.9418622321753487,29.429106219211658,0.2843215975775153,0.5926112786764981,0.48638114147862255,0.9711953291011304,11.02707,9.43013
887,887,11.173214204986817,3.9418622321753487,29.429106219211658,0.2843215975775153,0.5926112786764981,0.48638114147862255,0.9711953291011304,11.35782,9.43013
888,888,11.173214204986817,3.9418622321753487,29.429106219211658,0.26459955547278863,0.5926112786764981,0.48638114147862255,0.9711953291011304,14.96614,9.43013
889,889,11.173214204986817,3.9418622321753487,29.429106219211658,0.296610202687975,0.5926112786764981,0.48638114147862255,0.9711953291011304,10.55238,9.43013
890,890,11.173214204986817,3.9418622321753487,29.429106219211658,0.2843215975775153,0.5779968173323262,0.48638114147862255,0.9711953291011304,10.08942,9.43013
891,891,11.173214204986817,3.9418622321753487,25.805749812866217,0.2843215975775153,0.5926112786764981,0.48638114147862255,0.9711953291011304,11.61879,9.43013
892,892,11.173214204986817,3.525733168780514,29.429106219211658,0.2843215975775153,0.5926112786764981,0.48638114147862255,0.9711953291011304,9.5226,9.43013
893,893,11.190769017665762,3.9418622321753487,29.429106219211658,0.2843215975775153,0.5926112786764981,0.48638114147862255,0.9711953291011304,10.00709,9.43013
894,894,11.173214204986817,3.9418622321753487,29.429106219211658,0.2843215975775153,0.5926112786764981,0.472501744001354,0.9711953291011304,9.96977,9.43013
895,895,11.173214204986817,3.9418622321753487,29.429106219211658,0.2843215975775153,0.5926112786764981,0.48638114147862255,0.911523549751292,14.5843,9.43013
896,896,11.173214204986817,3.9418622321753487,29.429106219211658,0.2843215975775153,0.6678774163773723,0.48638114147862255,0.9711953291011304,11.19188,9.43013
897,897,11.173214204986817,3.9418622321753487,29.429106219211658,0.2843215975775153,0.5926112786764981,0.48638114147862255,0.9711953291011304,9.8789,9.43013
898,898,11.173214204986817,3.9418622321753487,31.640064460976433,0.2843215975775153,0.5926112786764981,0.48638114147862255,0.9711953291011304,9.34646,9.34646
899,899,11.173214204986817,3.9418622321753487,31.640064460976433,0.32666010594729455,0.5926112786764981,0.48638114147862255,0.9711953291011304,11.27185,9.34646
900,900,11.173214204986817,3.9418622321753487,31.640064460976433,0.2843215975775153,0.5926112786764981,0.48638114147862255,0.9711953291011304,11.60705,9.34646
901,901,11.173214204986817,3.9418622321753487,31.640064460976433,0.2843215975775153,0.5926112786764981,0.48638114147862255,0.9651849513818502,9.71802,9.34646
902,902,11.173214204986817,3.9418622321753487,31.640064460976433,0.2843215975775153,0.5926112786764981,0.5060471979942924,0.9711953291011304,10.73245,9.34646
903,903,11.173214204986817,3.9418622321753487,32.427065836084125,0.2843215975775153,0.5926112786764981,0.48638114147862255,0.9711953291011304,9.54435,9.34646
